Date,Review
10/10/2005,1
10/15/2005,1
12/2/2005,1
1/7/2006,1
1/31/2006,1
4/23/2006,1
5/11/2006,1
5/16/2006,1
5/17/2006,1
6/22/2006,1
7/25/2006,1
8/9/2006,1
8/24/2006,1
9/11/2006,1
9/13/2006,1
9/19/2006,1
10/2/2006,1
10/28/2006,1
11/4/2006,1
12/19/2006,1
1/10/2007,1
1/15/2007,1
1/30/2007,1
2/5/2007,1
2/14/2007,1
2/27/2007,1
3/8/2007,1
3/15/2007,1
3/17/2007,1
4/4/2007,1
4/9/2007,1
4/12/2007,1
4/24/2007,1
4/26/2007,1
5/8/2007,1
5/11/2007,1
5/14/2007,1
5/22/2007,1
6/4/2007,1
6/8/2007,1
6/14/2007,2
6/22/2007,1
7/5/2007,1
7/9/2007,1
7/16/2007,1
7/19/2007,2
7/25/2007,1
7/26/2007,1
7/27/2007,1
8/13/2007,1
8/18/2007,1
8/27/2007,4
8/29/2007,1
8/30/2007,2
9/3/2007,2
9/4/2007,1
9/8/2007,2
9/9/2007,1
9/14/2007,1
9/18/2007,1
9/23/2007,1
9/29/2007,1
10/1/2007,1
10/8/2007,1
10/10/2007,1
10/15/2007,1
10/23/2007,1
10/31/2007,1
11/10/2007,1
11/18/2007,1
11/24/2007,1
11/27/2007,1
12/9/2007,1
12/10/2007,1
12/12/2007,1
12/18/2007,1
12/25/2007,1
12/27/2007,1
12/28/2007,1
1/1/2008,1
1/3/2008,1
1/6/2008,1
1/9/2008,1
1/11/2008,1
1/14/2008,1
1/15/2008,2
1/16/2008,2
1/17/2008,1
1/25/2008,1
2/1/2008,2
2/5/2008,1
2/21/2008,1
2/25/2008,1
2/26/2008,1
3/3/2008,2
3/5/2008,2
3/7/2008,1
3/11/2008,1
3/16/2008,1
3/17/2008,1
3/23/2008,2
3/29/2008,1
3/30/2008,1
3/31/2008,1
4/1/2008,2
4/23/2008,1
4/26/2008,1
4/29/2008,1
5/1/2008,1
5/8/2008,1
5/10/2008,1
5/14/2008,1
5/16/2008,1
5/17/2008,1
5/24/2008,1
5/29/2008,1
6/2/2008,2
6/4/2008,1
6/7/2008,1
6/12/2008,1
6/17/2008,2
6/18/2008,1
6/22/2008,1
6/23/2008,1
7/2/2008,1
7/3/2008,1
7/8/2008,1
7/9/2008,1
7/14/2008,1
7/16/2008,1
7/18/2008,1
7/21/2008,1
7/23/2008,1
7/25/2008,1
7/28/2008,1
8/14/2008,1
8/15/2008,1
8/18/2008,1
8/30/2008,1
